data,hora,natureza_acidente,situacao,bairro,endereco,,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3,_id,Protocolo
2016-01-01,07:26:00,COM VÍTIMA,FINALIZADA,CABANGA,AV SUL GOV. CID SAMPAIO,0,,,NO SEMAFORO Nº260,AV SUL,0,NO SEMAFORO Nº260,CABANGA,COLISÃO,COL.C/V SET.CD,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-01,08:35:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,0,,,SEMAFORO 142 CRUZAMENTO DA CLINICAL CENTER,AV ENGENHEIRO DOMINGOS FERREIRA,0,SEMAFORO 142 CRUZAMENTO DA CLINICAL CENTER,BOA VIAGEM,COLISÃO,COLISÃO COM VITIMA AQUARDANDO SAMU,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,
2016-01-01,18:30:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,AV RUI BARBOSA,1,X,,EM FRENTE AO PARQUE DA JAQUEIRA,AV RUI BARBOSA,X,EM FRENTE AO PARQUE DA JAQUEIRA,JAQUEIRA,COLISÃO,COLISÃO ENTRE QUATRO AUTO  SEGUINTE DE UM CAPOTAMENTO DE UM DOS VEICULOS,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-01,23:09:00,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,4,4510,,NO POSTO DE SAUDE DE BEBERIBE,AV BEBERIBE,4510,NO POSTO DE SAUDE DE BEBERIBE,BEBERIBE,ATROPELAMENTO,VEICULO SOBE CALÇADA E PEGA PEDESTRE QUEBRANDO MURO DO POSTO,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-02,06:32:00,VÍTIMA FATAL,FINALIZADA,BOA VISTA,RUA DA AURORA,2,XX,,CRUZAMENTO COM RUA PRINCESA IZABEL,RUA DA AURORA,XX,CRUZAMENTO COM RUA PRINCESA IZABEL,BOA VISTA,COLISÃO,SEGUNDO INFORMAÇÕES DE POPULARES  O CONDUTOR DA MOTOCICLETA AVANÇOU O SINAL VERMELHO E COLIDIU NO ÔNIBUS DA CRT.,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
2016-01-02,11:00:00,COM VÍTIMA,FINALIZADA,ARRUDA,RUA DO MACHADO,3,862,,E/F AO BLOCO OS IRRESPONSAVEIS,RUA DO MACHADO,862,E/F AO BLOCO OS IRRESPONSAVEIS,ARRUDA,COLISÃO,COM UMA VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-02,12:52:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA VASCO DA GAMA,0,,,E/F DO TREZE DO VASCO,RUA VASCO DA GAMA,0,E/F DO TREZE DO VASCO,CASA AMARELA,COLISÃO,COLISAO DE MOTO E AUTO COM UMA VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,00:49:00,COM VÍTIMA,FINALIZADA,JARDIM SAO PAULO,AV SAO PAULO,0,,,PRÓX AO SUPERMERCADO VENDE MAIS,AV SAO PAULO,0,PRÓX AO SUPERMERCADO VENDE MAIS,JARDIM SÃO PAULO,COLISÃO,COLISÃO ENTRE UM AUTO E UMA MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,03:41:00,VÍTIMA FATAL,FINALIZADA,IMBIRIBEIRA,RUA ARQUITETO LUIZ NUNES,2,SN,,POR TRAZ DO SUPERMERCADO ASSAI,RUA ARQUITETO LUIZ NUNES,SN,POR TRAZ DO SUPERMERCADO ASSAI,IMBIRIBEIRA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016-01-03,10:51:00,COM VÍTIMA,FINALIZADA,SITIO DOS PINTOS,RUA DO SITIO SAO BRAZ,3,590,,uma rua após o campo de futebol do sitio dos pintos,RUA DO SITIO SAO BRAZ,590,uma rua após o campo de futebol do sitio dos pintos,SÍTIO DOS PINTOS,CAPOTAMENTO,atropelamento seguido de capotamento com vitima,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,11:42:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA CAPITAO LIMA,0,,,PROXÍMO AO JORNAL DO COMMERCIO,RUA CAPITAO LIMA,0,PROXÍMO AO JORNAL DO COMMERCIO,SANTO AMARO,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,14:38:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,AV JOAO DE BARROS,4,1545,,EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER,AV JOAO DE BARROS,1545,EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER,ESPINHEIRO,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
