"osm_id","name","length","highway","has_cycleway","cycleway_typology","relation_id","geojson","lastupdated","city_id","dual_carriageway","pdc_typology"
282837006,"",1.4530369,cycleway,true,Ciclovia,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/282837006"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-35.0107439, -8.0448462], [-35.0106668, -8.0447992], [-35.0106674, -8.0447572], [-35.0106526, -8.0446847], [-35.0105115, -8.0445326], [-35.0099333, -8.0439402], [-35.0097617, -8.0438039], [-35.0096198, -8.0436905], [-35.0095191, -8.0436106], [-35.0092138, -8.0434273], [-35.0091447, -8.0434187], [-35.0090058, -8.0434494], [-35.0089206, -8.0434299], [-35.0088694, -8.0433813], [-35.0088186, -8.0433082], [-35.0087927, -8.0432733], [-35.0087598, -8.0432402], [-35.008652, -8.0431935], [-35.0083742, -8.0431074], [-35.0080112, -8.0430426], [-35.007459, -8.0430077], [-35.0070637, -8.043004], [-35.0060791, -8.0430029], [-35.0060249, -8.0430176], [-35.0059226, -8.0430892], [-35.0058515, -8.0431397], [-35.0058231, -8.0431541], [-35.0057948, -8.0431597], [-35.0057706, -8.043161], [-35.005745, -8.0431585], [-35.005723, -8.0431523], [-35.0056866, -8.0431377], [-35.0056496, -8.0431152], [-35.0056169, -8.0430928], [-35.0055321, -8.0430417], [-35.0054727, -8.0430355], [-35.0054183, -8.0430361], [-35.0053067, -8.043061], [-35.0051568, -8.043111], [-35.0050468, -8.0431642], [-35.0050261, -8.0431746], [-35.004978, -8.0431987], [-35.0048942, -8.0432513], [-35.0047728, -8.0433433], [-35.0046975, -8.0434119], [-35.004672, -8.0434352], [-35.0044493, -8.0436869], [-35.0043185, -8.0438335], [-35.0038968, -8.0442995], [-35.0036797, -8.0444792], [-35.0035013, -8.0445737], [-35.0032842, -8.0446554], [-35.003077, -8.0447025], [-35.0028308, -8.0447096], [-35.002553, -8.0446757], [-35.0019399, -8.0445804], [-35.0011028, -8.0444583], [-35.0005216, -8.0443821], [-35.0001019, -8.044346], [-34.9998774, -8.0443384], [-34.9996917, -8.0443382], [-34.9993791, -8.044349], [-34.9990009, -8.0443582]]}, ""properties"": {""id"": ""way/282837006"", ""lit"": ""yes"", ""foot"": ""no"", ""horse"": ""no"", ""access"": ""yes"", ""oneway"": ""no"", ""bicycle"": ""yes"", ""highway"": ""cycleway"", ""surface"": ""asphalt"", ""motor_vehicle"": ""no""}}]}",,2613701,false,Ciclovia
328662403,"",0.069724806,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/328662403"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9945823, -8.0349856], [-34.9946293, -8.0350359], [-34.99466, -8.0350974], [-34.9946717, -8.0351649], [-34.9946636, -8.035233], [-34.9946352, -8.0352977], [-34.9945889, -8.0353514], [-34.9945288, -8.0353894], [-34.9944601, -8.0354082], [-34.9943889, -8.0354064]]}, ""properties"": {""id"": ""way/328662403"", ""lanes"": ""2"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""junction"": ""roundabout"", ""cycleway:right"": ""lane""}}]}",,2611606,false,Ciclovia
465973279,Ramal da Copa,0.13435216,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/465973279"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9952749, -8.034074], [-34.9951257, -8.0341814], [-34.9949312, -8.0343116], [-34.9947864, -8.0344484], [-34.9946603, -8.0346223], [-34.9945946, -8.0347498], [-34.9945758, -8.0348454], [-34.9945823, -8.0349856]]}, ""properties"": {""id"": ""way/465973279"", ""name"": ""Ramal da Copa"", ""lanes"": ""2"", ""oneway"": ""yes"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""cycleway:right"": ""lane""}}]}",,2611606,false,Ciclovia
573299091,Avenida Deus é Fiel,0.04008521,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/573299091"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9920745, -8.0410347], [-34.9924108, -8.0411728]]}, ""properties"": {""id"": ""way/573299091"", ""lit"": ""yes"", ""name"": ""Avenida Deus é Fiel"", ""lanes"": ""2"", ""oneway"": ""yes"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""maxspeed"": ""60"", ""cycleway:right"": ""lane""}}]}",,2611606,false,Ciclovia
573609258,Ramal Arena Pernambuco,0.8285777,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/573609258"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.997156, -8.0245322], [-34.9970999, -8.02478], [-34.9970372, -8.0250681], [-34.9970132, -8.0251784], [-34.996857, -8.0257907], [-34.9968297, -8.0259353], [-34.9968178, -8.0260972], [-34.9968219, -8.0262746], [-34.9968597, -8.0264546], [-34.9969087, -8.0266517], [-34.9969693, -8.0268552], [-34.9969806, -8.0270541], [-34.9970071, -8.0273077], [-34.9970114, -8.02758], [-34.9969993, -8.0277326], [-34.9969647, -8.0278683], [-34.9967337, -8.0286671], [-34.9966986, -8.0288225], [-34.996442, -8.0297064], [-34.9962727, -8.0305038], [-34.9962449, -8.0307082], [-34.9962267, -8.0310754], [-34.9962132, -8.0313242], [-34.9961889, -8.0315701], [-34.9961705, -8.0318278]]}, ""properties"": {""id"": ""way/573609258"", ""name"": ""Ramal Arena Pernambuco"", ""lanes"": ""2"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""cycleway:right"": ""lane""}}]}",,2603454,false,Ciclovia
573609268,Ramal Arena Pernambuco,0.21187837,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/573609268"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9961705, -8.0318278], [-34.9961277, -8.0324171], [-34.9960913, -8.0326895], [-34.9960698, -8.0328508], [-34.9960457, -8.0329903], [-34.9960028, -8.033147], [-34.9959196, -8.033301], [-34.9958311, -8.0334312], [-34.9956756, -8.0336175]]}, ""properties"": {""id"": ""way/573609268"", ""name"": ""Ramal Arena Pernambuco"", ""lanes"": ""2"", ""layer"": ""1"", ""bridge"": ""yes"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""alt_name"": ""Ramal da Copa"", ""cycleway:right"": ""lane""}}]}",,2603454,false,Ciclovia
577184183,Ramal da Copa,0.06738603,secondary,true,Ciclofaixa,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/577184183"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9956756, -8.0336175], [-34.9955029, -8.0338429], [-34.9953704, -8.0339795], [-34.9952749, -8.034074]]}, ""properties"": {""id"": ""way/577184183"", ""name"": ""Ramal da Copa"", ""lanes"": ""2"", ""layer"": ""1"", ""bridge"": ""yes"", ""oneway"": ""yes"", ""highway"": ""secondary"", ""surface"": ""asphalt"", ""cycleway:right"": ""lane""}}]}",,2603454,false,Ciclovia
589707777,Ciclofaixa Arena,0.7256737,cycleway,true,Ciclovia,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/589707777"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.994653, -8.042056], [-34.99467, -8.0419721], [-34.994604, -8.0419194], [-34.9946202, -8.0418984], [-34.994618, -8.0418521], [-34.9946068, -8.0418125], [-34.9945847, -8.0417541], [-34.9945387, -8.0417206], [-34.9944888, -8.0417103], [-34.9944365, -8.0417015], [-34.9943842, -8.0417015], [-34.9943486, -8.0417151], [-34.9943208, -8.0417482], [-34.9943193, -8.0418008], [-34.9944284, -8.0422373], [-34.9944549, -8.0422796], [-34.9945213, -8.0423088], [-34.994741, -8.042319], [-34.9949252, -8.0423745], [-34.9952127, -8.0424548], [-34.9955563, -8.0425176], [-34.9958217, -8.0425541], [-34.9960233, -8.0425646], [-34.996572, -8.0425747], [-34.9968701, -8.0425948], [-34.9970513, -8.0426266], [-34.9972022, -8.0426872], [-34.9973426, -8.0427776], [-34.9974391, -8.0428535], [-34.9974747, -8.0428815], [-34.9976388, -8.0430466], [-34.997781, -8.0433049], [-34.9979422, -8.043642], [-34.9980051, -8.0437691], [-34.9981389, -8.0439441], [-34.9982092, -8.0440216], [-34.9983422, -8.0441253], [-34.998451, -8.0441984], [-34.9985812, -8.044263], [-34.9987108, -8.0442991], [-34.9988571, -8.0443388], [-34.9990009, -8.0443582]]}, ""properties"": {""id"": ""way/589707777"", ""name"": ""Ciclofaixa Arena"", ""highway"": ""cycleway"", ""postal_code"": ""54710-010""}}]}",,2613701,false,Ciclovia
706191511,"",0.034151677,cycleway,true,Ciclovia,0,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/706191511"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.997688, -8.0424537], [-34.9976043, -8.042417], [-34.9974954, -8.0423687], [-34.9974055, -8.0423269]]}, ""properties"": {""id"": ""way/706191511"", ""foot"": ""yes"", ""highway"": ""cycleway"", ""crossing"": ""marked"", ""cycleway"": ""crossing""}}]}",,2613701,false,""
589707779,Ciclofaixa Arena,0.3018972,cycleway,true,Ciclovia,120,"{""type"": ""FeatureCollection"", ""features"": [{""id"": ""way/589707779"", ""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-34.9973515, -8.0424112], [-34.9971966, -8.0423725], [-34.9969843, -8.0423061], [-34.9966692, -8.0422774], [-34.9962804, -8.0422729], [-34.9958848, -8.042284], [-34.9955519, -8.0422331], [-34.9951451, -8.0421335], [-34.9947585, -8.0419941], [-34.99467, -8.0419721]]}, ""properties"": {""id"": ""way/589707779"", ""foot"": ""permissive"", ""name"": ""Ciclofaixa Arena"", ""highway"": ""cycleway"", ""surface"": ""asphalt"", ""addr:suburb"": ""Jardim Penedo"", ""postal_code"": ""54710-010""}}]}",,2613701,false,Ciclovia
