id,session_id,direction_id,count
1,1,1,0
2,2,1,11
3,3,1,7
4,4,1,4
5,5,1,1
6,6,1,1
7,7,1,1
8,8,1,1
9,9,1,5
10,10,1,2
11,11,1,2
12,12,1,5
13,13,1,6
14,14,1,6
15,1,2,52
16,2,2,67
17,3,2,28
18,4,2,23
19,5,2,11
20,6,2,19
21,7,2,10
22,8,2,7
23,9,2,12
24,10,2,13
25,11,2,12
26,12,2,20
27,13,2,28
28,14,2,5
29,1,3,1
30,2,3,7
31,3,3,9
32,4,3,3
33,5,3,3
34,6,3,6
35,7,3,0
36,8,3,6
37,9,3,1
38,10,3,2
39,11,3,2
40,12,3,6
41,13,3,3
42,14,3,1
43,1,4,0
44,2,4,3
45,3,4,0
46,4,4,0
47,5,4,0
48,6,4,0
49,7,4,0
50,8,4,1
51,9,4,0
52,10,4,0
53,11,4,0
54,12,4,0
55,13,4,0
56,14,4,0
57,1,5,5
58,2,5,5
59,3,5,5
60,4,5,4
61,5,5,5
62,6,5,6
63,7,5,8
64,8,5,4
65,9,5,6
66,10,5,8
67,11,5,7
68,12,5,21
69,13,5,13
70,14,5,4
71,1,6,0
72,2,6,1
73,3,6,1
74,4,6,1
75,5,6,1
76,6,6,1
77,7,6,2
78,8,6,2
79,9,6,0
80,10,6,3
81,11,6,2
82,12,6,1
83,13,6,3
84,14,6,0
85,1,7,0
86,2,7,0
87,3,7,3
88,4,7,2
89,5,7,3
90,6,7,1
91,7,7,2
92,8,7,6
93,9,7,3
94,10,7,3
95,11,7,4
96,12,7,6
97,13,7,5
98,14,7,2
99,1,8,2
100,2,8,1
101,3,8,2
102,4,8,1
103,5,8,1
104,6,8,8
105,7,8,3
106,8,8,2
107,9,8,1
108,10,8,5
109,11,8,6
110,12,8,8
111,13,8,8
112,14,8,4
113,1,9,1
114,2,9,0
115,3,9,5
116,4,9,4
117,5,9,1
118,6,9,7
119,7,9,0
120,8,9,2
121,9,9,3
122,10,9,1
123,11,9,4
124,12,9,8
125,13,9,10
126,14,9,4
127,1,10,32
