id,origin,destin,origin_cardinal,destin_cardinal
1,Parnamirim,Torre,north,west
2,Parnamirim,Centro,north,south
3,Parnamirim,Espinheiro,north,east
4,Espinheiro,Parnamirim,east,north
5,Espinheiro,Torre,east,west
6,Espinheiro,Centro,east,south
7,Centro,Espinheiro,south,east
8,Centro,Parnamirim,south,north
9,Centro,Torre,south,west
10,Torre,Centro,west,south
11,Torre,Espinheiro,west,east
12,Torre,Parnamirim,west,north
13,Caxangá,Abdias,north,west
14,Caxangá,Engenho,north,south
15,Caxangá,Centro,north,east
16,Centro,Caxangá,east,north
17,Centro,Abdias,east,west
18,Centro,Engenho,east,south
19,Engenho,Caxangá,south,east
20,Engenho,Centro,south,north
21,Engenho,Abdias,south,west
22,Abdias,Engenho,west,south
23,Abdias,Cento,west,east
24,Abdias,Caxangá,west,north
25,Água Fria,Casa Amarela,north,west
26,Água Fria,Encruzilhada,north,south
27,Água Fria,Campo Grande,north,east
28,Campo Grande,Água Fria,east,north
29,Campo Grande,Casa Amarela,east,west
30,Campo Grande,Encruzilhada,east,south
31,Encruzilhada,Campo Grande,south,east
32,Encruzilhada,Água Fria,south,north
33,Encruzilhada,Casa Amarela,south,west
34,Casa Amarela,Encruzilhada,west,south
35,Casa Amarela,Campo Grande,west,east
36,Casa Amarela,Água Fria,west,north
37,Vasco da Gama,Monteiro,north,west
38,Vasco da Gama,Casa Forte,north,south
39,Vasco da Gama,Parnamirim,north,east
40,Parnamirim,Vasco da Gama,east,north
41,Parnamirim,Monteiro,east,west
42,Parnamirim,Casa Forte,east,south
43,Casa Forte,Parnamirim,south,east
44,Casa Forte,Vasco da Gama,south,north
45,Casa Forte,Monteiro,south,west
46,Monteiro,Casa Forte,west,south
47,Monteiro,Parnamirim,west,east
48,Monteiro,Vasco da Gama,west,north
49,Centro,Lagoa do Araçá,north,west
50,Centro,Jaboatão,north,south
51,Centro,Boa Viagem,north,east
52,Boa Viagem,Centro,east,north
53,Boa Viagem,Lagoa do Araçá,east,west
54,Boa Viagem,Jaboatão,east,south
55,Jaboatão,Boa Viagem,south,east
56,Jaboatão,Centro,south,north
57,Jaboatão,Lagoa do Araçá,south,west
58,Lagoa do Araçá,Jaboatão,west,south
59,Lagoa do Araçá,Boa Viagem,west,east
60,Lagoa do Araçá,Centro,west,north
61,Centro,Lagoa do Araçá,north,west
62,Centro,Jaboatão,north,south
63,Centro,Boa Viagem,north,east
64,Boa Viagem,Centro,east,north
65,Boa Viagem,Lagoa do Araçá,east,west
66,Boa Viagem,Jaboatão,east,south
67,Jaboatão,Boa Viagem,south,east
68,Jaboatão,Centro,south,north
69,Jaboatão,Lagoa do Araçá,south,west
70,Lagoa do Araçá,Jaboatão,west,south
71,Lagoa do Araçá,Boa Viagem,west,east
72,Lagoa do Araçá,Centro,west,north
73,Arruda,Espinheiro,north,west
74,Arruda,Agamenon,north,south
75,Arruda,Olinda,north,east
76,Olinda,Arruda,east,north
77,Olinda,Espinheiro,east,west
78,Olinda,Agamenon,east,south
79,Agamenon,Olinda,south,east
80,Agamenon,Arruda,south,north
81,Agamenon,Espinheiro,south,west
82,Espinheiro,Agamenon,west,south
83,Espinheiro,Olinda,west,east
84,Espinheiro,Arruda,west,north
85,Jaqueira,Graças,north,south
86,Jaqueira,Rosarinho,north,east
